Count,Name,Value,Desc,Mfr,Part Number,Supplier,SPN,Footprint,
1,"C65","330nF/50V","470nF/25V Ceramic Capacitor 0805","AVX","08055C334KAT2A","Farnell","1657934","0805",
8,"D[1-8]","5V","4 Channel TVS Diodes","Wurth Elektronik","82402374","Mouser","710-82402374","SC70-5",
1,"D9","30V / 200mA","Small Signal Schottky Diode","ON SEMICONDUCTOR","BAT54","","FN 1467516","SOT-23",
2,"D[10-11]","","Green Red 0805","KINGBRIGHT","KP-2012MGC","","8529906","0805LED",
1,"F1","","10A/250VAC Cartridge 5x20 Fuse Holder","WURTH ELEKTRONIK","696105003002","","FN 2471679","696105003002",
3,"I[1-3]","10 mA","Constant Current Regulator","ON Semiconductor","NSI50010YT1GOSCT-ND","","","SOD-123",
2,"J[1-2]","","RCA Connector PCB Black","CUI","RCJ-041","Mouser","490-RCJ-041","RCJ-04x",
1,"J3","","DB-25 Female Right Angle","MultiComp","8LCM025S-304B-XX","Farnell","1099296","DB25-FEMALE-RA",
1,"J4","","D-Sub Standard Connectors 25P MALE RIGHT ANGLE","NorComp","182-025-113R531","","MS 636-182-025-113R531","DB25-MALE-RA",
1,"J5","","DB-23 Female Right Angle","","","","","DB23-FEMALE-RA",
1,"J6","","AC Power Entry Module","Qualtek","770W-X2/10","Mouser","562-770W-X2/10","770W-X2/10",
1,"J7","","Box Header 34 Pins 2.54mm pitch","Harting","09 18 534 7324","Farnell","1096992","BOX-2x14",
1,"J8","","31 Pin FPC connector 1.25mm Pitch","Molex","39-53-2315","Mouser","538-39-53-2315","39-53-2315",
2,"J9,J14","","Board to Board & Mezzanine Connectors 40P 1.27 SMC Male R/A SMT Type","HARWIN","M55-7104042R","","855-M55-7104042R","M55-7104042R",
3,"J[10-12]","","FH-Board To Board Connector","TE Connectivity","5146897-1","Mouser","571-5146897-1","Free Height (FH) Plug 64",
1,"J13","","Programming header for AVR MCUs","","","","","TC2030",
2,"J[15-16]","","Floppy Power Connector","TE CONNECTIVITY","171825-4","Farnell","1654622","171825-4",
2,"J[17-18]","","Wire-To-Board Connector, 2.54 mm, 3 Contacts, Header","Molex","22-23-2031","Farnell","1462950","FanHeader",
